order,K,comparison,metric,n,mean,ci_lo,ci_hi,p_value,q_value,fdr_significant
main,2,ours-ours_uniform,BWT,5,0.020119999999999996,0.008766666666666655,0.03147333333333334,0.0625,0.1875,False
main,2,ours-ours_uniform,Jaccard,5,-0.0020666666666666693,-0.017493333333333316,0.010559999999999986,0.8125,0.9112149532710281,False
main,2,ours-ours_uniform,action-KL,5,0.0023666666666666628,0.001406666666666663,0.0033666666666666636,0.0625,0.1875,False
main,1,mem2048-ours,AA,5,0.01017999999999999,0.004666375000000021,0.016609999999999948,0.0625,0.1875,False
main,1,mem2048-ours,Forgetting,5,-0.0008333333333333376,-0.010200000000000018,0.013560000000000011,0.875,0.9292035398230089,False
main,1,mem2048-ours,BWT,5,0.004099999999999992,-0.010573333333333355,0.018773333333333336,0.625,0.7978723404255319,False
main,1,mem2048-ours,Jaccard,5,0.020040000000000013,-0.023526666666666668,0.05769333333333334,0.375,0.6923076923076923,False
main,1,mem2048-ours,action-KL,5,0.0035800000000000025,-0.0020599999999999993,0.009820000000000006,0.375,0.6923076923076923,False
main,2,mem2048-ours,AA,5,0.00984999999999998,0.001794999999999969,0.01882999999999997,0.0625,0.1875,False
main,2,mem2048-ours,Forgetting,5,0.010440000000000005,0.0025666666666666576,0.018313333333333348,0.125,0.3409090909090909,False
main,2,mem2048-ours,BWT,5,0.013760000000000003,0.007113333333333327,0.020653333333333326,0.0625,0.1875,False
main,2,mem2048-ours,Jaccard,5,0.04532666666666668,0.03182000000000003,0.06106666666666667,0.0625,0.1875,False
main,2,mem2048-ours,action-KL,5,0.007426666666666667,0.0063199999999999975,0.008880000000000004,0.0625,0.1875,False
main,1,lambda3-ours,AA,5,0.015110000000000023,0.005600000000000005,0.02459000000000009,0.125,0.3409090909090909,False
main,1,lambda3-ours,Forgetting,5,-0.002286666666666659,-0.008060000000000006,0.006220000000000019,0.625,0.7978723404255319,False
main,1,lambda3-ours,BWT,5,0.0071800000000000015,-0.008360000000000027,0.019860000000000017,0.5,0.759493670886076,False
main,1,lambda3-ours,Jaccard,5,0.08778000000000004,0.04762666666666672,0.11059333333333335,0.0625,0.1875,False
main,1,lambda3-ours,action-KL,5,0.02204666666666667,0.01623333333333334,0.029366666666666673,0.0625,0.1875,False
main,2,lambda3-ours,AA,5,0.002230000000000021,-0.011470000000000046,0.016160000000000042,0.625,0.7978723404255319,False
