method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
joint,1,1,4,brca,4,0.6775,0.8602,1.0,0.0,0.0549,0.6496,93,202.5,can,main
joint,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,11.7,can,main
joint,1,2,2,esca,1,0.9375,0.9333,0.0889,0.0409,0.0609,0.8464,15,92.1,can,main
joint,1,2,2,lung,2,0.8538,0.8526,1.0,-0.0,0.078,0.7828,95,93.4,can,main
joint,1,2,3,esca,1,0.9375,0.9333,0.1556,0.0234,0.304,0.8464,15,212.3,can,main
joint,1,2,3,lung,2,0.8456,0.8421,0.186,0.0239,0.0434,0.7828,95,213.6,can,main
joint,1,2,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.4187,0.9142,76,214.7,can,main
joint,1,2,4,esca,1,0.9375,0.9333,0.1556,0.0541,0.0553,0.8464,15,393.9,can,main
joint,1,2,4,lung,2,0.8334,0.8316,0.1579,0.0312,0.054,0.7828,95,395.2,can,main
joint,1,2,4,rcc,3,0.9611,0.9605,0.2237,0.0215,0.4389,0.9142,76,396.2,can,main
joint,1,2,4,brca,4,0.8482,0.914,1.0,-0.0,0.0925,0.676,93,397.5,can,main
joint,1,4,1,esca,1,0.9375,0.9333,1.0,-0.0,-0.0838,0.8857,15,21.9,can,main
joint,1,4,2,esca,1,0.9286,0.9333,0.2038,0.0049,0.1437,0.8857,15,176.4,can,main
joint,1,4,2,lung,2,0.8518,0.8526,1.0,-0.0,0.0473,0.8484,95,179.0,can,main
joint,1,4,3,esca,1,0.8661,0.8667,0.1594,0.0067,0.0628,0.8857,15,408.7,can,main
joint,1,4,3,lung,2,0.8762,0.8737,0.0797,0.0036,-0.0122,0.8484,95,411.0,can,main
joint,1,4,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.2038,0.9318,76,412.8,can,main
joint,1,4,4,esca,1,0.9375,0.9333,0.1689,0.0081,0.0088,0.8857,15,749.0,can,main
joint,1,4,4,lung,2,0.8647,0.8632,0.1276,0.0055,0.0245,0.8484,95,751.5,can,main
joint,1,4,4,rcc,3,0.9611,0.9605,0.1838,0.0028,0.2005,0.9318,76,753.5,can,main
joint,1,4,4,brca,4,0.8286,0.914,1.0,-0.0,0.0495,0.7626,93,755.9,can,main
