method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
joint,4,2,2,rcc,2,0.9713,0.9737,1.0,0.0,0.4178,0.889,76,231.5,can,reverse
joint,4,2,3,brca,1,0.8218,0.9032,0.2043,0.0322,0.1103,0.6993,93,445.7,can,reverse
joint,4,2,3,rcc,2,0.9509,0.9474,0.2061,0.0133,0.3783,0.889,76,447.2,can,reverse
joint,4,2,3,lung,3,0.8749,0.8737,1.0,-0.0,0.0736,0.8342,95,449.1,can,reverse
joint,4,2,4,brca,1,0.9399,0.9355,0.1505,0.0434,0.1916,0.6993,93,659.1,can,reverse
joint,4,2,4,rcc,2,0.9611,0.9605,0.2456,0.0116,0.4296,0.889,76,660.6,can,reverse
joint,4,2,4,lung,3,0.8858,0.8842,0.2105,0.0105,0.0738,0.8342,95,662.5,can,reverse
joint,4,2,4,esca,4,0.9375,0.9333,1.0,0.0,0.2757,0.925,15,662.8,can,reverse
joint,4,4,1,brca,1,0.9001,0.9032,1.0,-0.0,0.0586,0.7812,93,168.4,can,reverse
joint,4,4,2,brca,1,0.8677,0.914,0.1521,0.0049,0.0545,0.7812,93,453.1,can,reverse
joint,4,4,2,rcc,2,0.9713,0.9737,1.0,-0.0,0.2101,0.9289,76,456.1,can,reverse
joint,4,4,3,brca,1,0.8745,0.9247,0.1343,0.0044,0.0747,0.7812,93,827.3,can,reverse
joint,4,4,3,rcc,2,0.9611,0.9605,0.1261,0.0029,0.1778,0.9289,76,829.7,can,reverse
joint,4,4,3,lung,3,0.8341,0.8316,1.0,-0.0,-0.0328,0.8349,95,832.7,can,reverse
joint,4,4,4,brca,1,0.894,0.9247,0.0819,0.0075,0.1016,0.7812,93,1115.5,can,reverse
joint,4,4,4,rcc,2,0.9611,0.9605,0.1184,0.0025,0.2108,0.9289,76,1117.1,can,reverse
joint,4,4,4,lung,3,0.8551,0.8526,0.1297,0.004,0.0346,0.8349,95,1119.0,can,reverse
joint,4,4,4,esca,4,0.9375,0.9333,1.0,-0.0,-0.0267,0.8571,15,1119.3,can,reverse
